Espèce,Variété,Fournisseur,Délai croissance plants (j),Date en terre,Durée avant récolte (j),Étalement récolte (j),Date réalisation plants,Date début récolte,Date fin récolte,Longueur de rang de cette série (m),Longueur de  rang totale (m),Longueur de  rang par livraison (m),Nombre de rangs retenus,Intra rang (cm),Nombre de pieds,Nb graines par m,Nombre de graines,Nb graines par gramme,Poids par graine (g),Poids de graines (g),lieu,liste_planches
Epinard,,,,,,,-,30/12/1899,30/12/1899,,1000,100,"4,8",15,0,"22,2222222222222",0,,#DIV/0 !,#DIV/0 !,SERRE,
Epinard,Viking,,,,,,-,30/12/1899,30/12/1899,,1000,100,"4,8",15,0,"22,2222222222222",0,,#DIV/0 !,#DIV/0 !,SERRE,
Fenouil,,,,,,,-,30/12/1899,30/12/1899,,"142,857142857143","28,5714285714286","4,8",25,0,"4,44444444444444",0,,#DIV/0 !,#DIV/0 !,CHAMP,S1
Fenouil,xxx,,,14/03/2016,,,-,14/03/2016,14/03/2016,,"142,857142857143","28,5714285714286","4,8",25,0,"4,44444444444444",0,,#DIV/0 !,#DIV/0 !,CHAMP,
Fèves,express eleonora,VOLTZ,,,,,-,30/12/1899,30/12/1899,,125,"31,25",3,15,0,"7,40740740740741",0,,#DIV/0 !,#DIV/0 !,SERRE,
Fèves,D’AGUADULCE,VOLTZ,,,,,-,30/12/1899,30/12/1899,,125,"31,25",3,15,0,"7,40740740740741",0,,#DIV/0 !,#DIV/0 !,CHAMP,
Haricots,rames,,30,10/03/2016,90,60,09/02/2016,08/06/2016,07/08/2016,,"142,857142857143","28,5714285714286","1,71428571428571",40,0,"2,77777777777778",0,,#DIV/0 !,#DIV/0 !,SERRE,
Haricots,nain,,28,10/06/2016,90,30,13/05/2016,08/09/2016,08/10/2016,,"142,857142857143","28,5714285714286","1,71428571428571",40,0,"2,77777777777778",0,,#DIV/0 !,#DIV/0 !,CHAMP,
Laitue,romaine Victorinus,,30,03/02/2016,30,15,04/01/2016,04/03/2016,19/03/2016,30,"535,714285714286","11,9047619047619",4,30,100,"3,7037037037037","111,111111111111",900,"0,00111111111111111","0,123456790123457",SERRE,
Laitue,batavia rouge,,30,18/02/2016,30,15,19/01/2016,19/03/2016,03/04/2016,30,"535,714285714286","11,9047619047619",4,30,100,"3,7037037037037","111,111111111111",900,"0,00111111111111111","0,123456790123457",SERRE,
Laitue,batavia blonde,,30,04/03/2016,29,15,03/02/2016,02/04/2016,17/04/2016,30,"535,714285714286","11,9047619047619",4,30,100,"3,7037037037037","111,111111111111",900,"0,00111111111111111","0,123456790123457",SERRE,
Laitue,feuille de chêne rouge,,30,19/03/2016,28,15,18/02/2016,16/04/2016,01/05/2016,30,"535,714285714286","11,9047619047619",4,30,100,"3,7037037037037","111,111111111111",900,"0,00111111111111111","0,123456790123457",SERRE,
Laitue,feuille de chêne bonde,,27,03/04/2016,27,15,07/03/2016,30/04/2016,15/05/2016,30,"535,714285714286","11,9047619047619",4,30,100,"3,7037037037037","111,111111111111",900,"0,00111111111111111","0,123456790123457",SERRE,
Laitue,romaine Victorinus,,25,18/04/2016,26,15,24/03/2016,14/05/2016,29/05/2016,30,"535,714285714286","11,9047619047619",4,30,100,"3,7037037037037","111,111111111111",900,"0,00111111111111111","0,123456790123457",SERRE,
Laitue,batavia rouge,,24,03/05/2016,25,15,09/04/2016,28/05/2016,12/06/2016,30,"535,714285714286","11,9047619047619",4,30,100,"3,7037037037037","111,111111111111",900,"0,00111111111111111","0,123456790123457",SERRE,
